dataset_id,study,has_nct,author,year,valid_author_year
CD000028_pub4_data,Carter 1970,FALSE,Carter,1970,TRUE
CD000028_pub4_data,Coope 1986,FALSE,Coope,1986,TRUE
CD000028_pub4_data,EWPHBPE 1989,FALSE,EWPHBPE,1989,TRUE
CD000028_pub4_data,HYVET 2008,FALSE,HYVET,2008,TRUE
CD000028_pub4_data,HYVET P 2003,FALSE,HYVET P,2003,TRUE
CD000028_pub4_data,Kuramoto 1981,FALSE,Kuramoto,1981,TRUE
CD000028_pub4_data,MRC-O 1992,FALSE,MRC-O,1992,TRUE
CD000028_pub4_data,MRC-TMH 1985,FALSE,MRC-TMH,1985,TRUE
CD000028_pub4_data,SHEP 1991,FALSE,SHEP,1991,TRUE
CD000028_pub4_data,SHEP-P 1989,FALSE,SHEP-P,1989,TRUE
CD000028_pub4_data,STOP 1991,FALSE,STOP,1991,TRUE
CD000028_pub4_data,Sprackling 1981,FALSE,Sprackling,1981,TRUE
CD000028_pub4_data,Syst-Eur 1991,FALSE,Syst-Eur,1991,TRUE
CD000028_pub4_data,ATTMH 1981,FALSE,ATTMH,1981,TRUE
CD000028_pub4_data,HSCSG 1974,FALSE,HSCSG,1974,TRUE
CD000028_pub4_data,VA-II 1970,FALSE,VA-II,1970,TRUE
CD000143_pub2_data,Davis 1998,FALSE,Davis,1998,TRUE
CD000143_pub2_data,Annibale 1994,FALSE,Annibale,1994,TRUE
CD000143_pub2_data,Chan 1993,FALSE,Chan,1993,TRUE
CD000143_pub2_data,Dimitriou 2000,FALSE,Dimitriou,2000,TRUE
CD000143_pub2_data,Engelke 1982,FALSE,Engelke,1982,TRUE
CD000143_pub2_data,Higgins 1991,FALSE,Higgins,1991,TRUE
CD000143_pub2_data,Peake 2005,FALSE,Peake,2005,TRUE
CD000143_pub2_data,So 1995,FALSE,So,1995,TRUE
CD000143_pub2_data,Tapia 1995,FALSE,Tapia,1995,TRUE
CD000219_pub5_data,Burke 1991,FALSE,Burke,1991,TRUE
CD000219_pub5_data,Le Saux 2005,FALSE,Le Saux,2005,TRUE
CD000219_pub5_data,Thalin 1985,FALSE,Thalin,1985,TRUE
CD000219_pub5_data,Tähtinen 2011,FALSE,Tähtinen,2011,TRUE
CD000219_pub5_data,van Buchem 1981,FALSE,van Buchem,1981,TRUE
CD000219_pub5_data,Appelman 1991,FALSE,Appelman,1991,TRUE
CD000219_pub5_data,Halsted 1968,FALSE,Halsted,1968,TRUE
CD000219_pub5_data,Kaleida 1991,FALSE,Kaleida,1991,TRUE
CD000219_pub5_data,Mygind 1981,FALSE,Mygind,1981,TRUE
CD000219_pub5_data,Damoiseaux 2000,FALSE,Damoiseaux,2000,TRUE
CD000219_pub5_data,Tapiainen 2014,FALSE,Tapiainen,2014,TRUE
CD000219_pub5_data,Hoberman 2011,FALSE,Hoberman,2011,TRUE
CD000219_pub5_data,Shahbaznejad 2021,FALSE,Shahbaznejad,2021,TRUE
CD000219_pub5_data,Spiro 2006,FALSE,Spiro,2006,TRUE
CD000219_pub5_data,Little 2001,FALSE,Little,2001,TRUE
CD000219_pub5_data,McCormick 2005,FALSE,McCormick,2005,TRUE
CD000219_pub5_data,Neumark 2007,FALSE,Neumark,2007,TRUE
CD000478_pub5_data,Hawthorne 1992,FALSE,Hawthorne,1992,TRUE
CD000478_pub5_data,Jewell 1974,FALSE,Jewell,1974,TRUE
CD000478_pub5_data,Sood 2000,FALSE,Sood,2000,TRUE
CD000478_pub5_data,Sood 2002,FALSE,Sood,2002,TRUE
CD000478_pub5_data,Löwenberg 2023,FALSE,Löwenberg,2023,TRUE
CD000478_pub5_data,Mate-Jimenez 2000,FALSE,Mate-Jimenez,2000,TRUE
CD000478_pub5_data,Paraskeva 2000,FALSE,Paraskeva,2000,TRUE
CD000478_pub5_data,Sakuraba 2012,FALSE,Sakuraba,2012,TRUE
CD000478_pub5_data,Kiszka-Kanowitz 2022,FALSE,Kiszka-Kanowitz,2022,TRUE
CD000478_pub5_data,Roblin 2017,FALSE,Roblin,2017,TRUE
CD000547_pub3_data,Audebert 1994,FALSE,Audebert,1994,TRUE
CD000547_pub3_data,Balasch 1995,FALSE,Balasch,1995,TRUE
CD000547_pub3_data,Bustos López 1995,FALSE,Bustos López,1995,TRUE
CD000547_pub3_data,Cagnacci 1994,FALSE,Cagnacci,1994,TRUE
CD000547_pub3_data,Fedele 1990,FALSE,Fedele,1990,TRUE
CD000547_pub3_data,Gerris 1996,FALSE,Gerris,1996,TRUE
CD000547_pub3_data,Nikolov 1999,FALSE,Nikolov,1999,TRUE
CD000547_pub3_data,Seraccholi 2003,FALSE,Seraccholi,2003,TRUE
CD000547_pub3_data,Stovall 1994,FALSE,Stovall,1994,TRUE
CD000547_pub3_data,Vercellini 1998,FALSE,Vercellini,1998,TRUE
CD000547_pub3_data,Zullo 1998,FALSE,Zullo,1998,TRUE
CD000547_pub3_data,D'Anna 1994,FALSE,D'Anna,1994,TRUE
CD000547_pub3_data,Friedman 1989,FALSE,Friedman,1989,TRUE
CD000547_pub3_data,Golan 1993,FALSE,Golan,1993,TRUE
CD000547_pub3_data,Lumsden 1994,FALSE,Lumsden,1994,TRUE
CD000547_pub3_data,Shaw 1996,FALSE,Shaw,1996,TRUE
CD000547_pub3_data,Stovall 1995,FALSE,Stovall,1995,TRUE
CD000547_pub3_data,Donnez 2003,FALSE,Donnez,2003,TRUE
CD000547_pub3_data,Muneyyirci-Delale 2007,FALSE,Muneyyirci-Delale,2007,TRUE
CD000547_pub3_data,Benagiano 1996,FALSE,Benagiano,1996,TRUE
CD000547_pub3_data,Shaw 1989,FALSE,Shaw,1989,TRUE
CD000547_pub3_data,Hudecek 2012,FALSE,Hudecek,2012,TRUE
CD000547_pub3_data,Campo 1999,FALSE,Campo,1999,TRUE
CD000547_pub3_data,De Falco 2009,FALSE,De Falco,2009,TRUE
CD000547_pub3_data,Cetin 1995,FALSE,Cetin,1995,TRUE
CD000547_pub3_data,Favilli 2017,FALSE,Favilli,2017,TRUE
CD000547_pub3_data,Muzii 2010,FALSE,Muzii,2010,TRUE
CD000547_pub3_data,De Milliano 2020,FALSE,De Milliano,2020,TRUE
CD000547_pub3_data,Sayyah-Melli 2007,FALSE,Sayyah-Melli,2007,TRUE
CD000547_pub3_data,Sayyah-Melli 2009,FALSE,Sayyah-Melli,2009,TRUE
CD000547_pub3_data,Donnez 2012b,FALSE,Donnez,2012,TRUE
CD000547_pub3_data,Baytur 2007,FALSE,Baytur,2007,TRUE
CD000547_pub3_data,Reinsch 1994,FALSE,Reinsch,1994,TRUE
CD000547_pub3_data,Verspyck 2000,FALSE,Verspyck,2000,TRUE
CD000547_pub3_data,Bian 2021,FALSE,Bian,2021,TRUE
