dataset_id,review_doi,conditions,n_studies,sample_analyses,search_keywords
CD000028_pub4_data,10.1002/14651858.CD000028.pub4,"cardiovascular, neurological",16,All-cause mortality | Cause of cardiovascular mortality | Cardiovascular mortality and morbidity | Cerebrovascular mortality and morbidity | Coronary heart disease mortality and morbidity | Withdrawal due to adverse effects | Cardiovascular morbidity and mortality | Cerebrovascular morbidity and mortality | Coronary heart disease morbidity and mortality | Withdrawal due to adverse effects 60 years or older,cardiovascular OR neurological
CD000143_pub2_data,10.1002/14651858.CD000143.pub2,"respiratory, pregnancy",9,Extubation failure | Endotracheal reintubation | Bronchopulmonary dysplasia  | Oxygen dependency at 28 days | Combined outcome of bronchopulmonary dysplasia and mortality | Mortality at any time up to 28 days or discharge from hospital | Intraventricular haemorrhage | Retinopathy of prematurity,respiratory OR pregnancy
CD000219_pub5_data,10.1002/14651858.CD000219.pub5,pain,17,"Pain | Vomiting, diarrhoea or rash | Abnormal tympanometry | Tympanic membrane perforation | Contralateral otitis (in unilateral cases) | Late AOM recurrences | Abnormal tympanometry at 4 weeks | AOM recurrences",pain
CD000478_pub5_data,10.1002/14651858.CD000478.pub5,other,10,Failure to maintain remission | Any adverse event | Withdrawal due to adverse event | Pancreatitis | Bone marrow suppression | Failure to maintain remission - all trials,other
CD000547_pub3_data,10.1002/14651858.CD000547.pub3,"diabetes, cancer, infection, mental_health, pain, dermatology",39,Uterine volume (mL) (preoperative) | Fibroid volume (mL) (preoperative) | Haemoglobin (preoperative) | Total frequency of adverse events | Individual adverse events | Duration of surgery (minutes) | Intraoperative blood loss (mL) | Frequency of blood transfusions | Postoperative morbidity (complications) | Proportion with individual complications | Proportion with difficult surgery | Proportion undergoing vaginal rather than abdominal procedure | Proportion with vertical incision | Duration of hospital stay (days) | Postoperative haemoglobin | Proportion with postoperative recurrence of myomas | Difficulty of surgery (visual analogue scale) | Fibroid recurrence | Fibroid volume | Haemoglobin at end of preoperative treatment | Reduction in bleeding to PBAC < 75 | Intraoperative blood loss > 1000 ml | Adverse events | Haemoglobin (g/dL) | Reduction in bleeding (PBAC < 75) | Change in menstrual blood loss from baseline to treatment end | Serious adverse events | Other adverse events,diabetes OR cancer OR infection OR mental_health OR pain OR dermatology
CD001072_pub2_data,10.1002/14651858.CD001072.pub2,other,1,Failure of treatment | Death in the first year | Tachycardia,other
CD001155_pub3_data,10.1002/14651858.CD001155.pub3,gastrointestinal,104,"Clinical vertebral fractures | Non-vertebral fractures | Hip fractures | Wrist fractures | Radiographic vertebral fractures | Withdrawals due to adverse events | Serious adverse events | Gastrointestinal adverse events | Atypical femoral fracture | Osteonecrosis of the Jaw | Osteonecrosis of the jaw | Alendronate vs Other active agent, Primary | Alendronate vs Other active agent, Secondary | Alendronate 70 mg/week vs Zolendronic acid 5 mg/year, Secondary | Alendronate 5 mg/day vs Alendronate 35 mg/week, Primary | Alendronate 10 mg/day vs Alendronate 70 mg/week, Secondary",gastrointestinal
CD001321_pub7_data,10.1002/14651858.CD001321.pub7,"pregnancy, gastrointestinal, neurological",38,"Symptomatic UTI: culture-verified UTI | Clinical UTI: symptoms, no culture | Microbiological UTI: positive culture without known symptoms | Death | Gastrointestinal adverse events | Clinical UTI without culture verification | Symptomatic UTI: culture-verified UTI (low dose PAC < 40 mg/day) | Symptomatic UTI: culture-verified UTI (moderate dose PAC 40 to 80 mg/day) | Symptomatic UTI: culture-verified UTI (high dose PAC > 80 mg/day) | Symptomatic UTI: culture-verified UTI (commercial involvement) | Symptomatic UTI: culture-verified UTI (no commercial involvement) | Symptomatic UTI: culture-verified UTI (⪰ 108 CFU/L) | Symptomatic UTI: culture-verified UTI (< 108 CFU/L)",pregnancy OR gastrointestinal OR neurological
CD001396_pub4_data,10.1002/14651858.CD001396.pub4,mental_health,28,"Self-rated overall premenstrual symptoms | Nausea | Insomnia or sleep disturbance | Sexual dysfunction or decreased libido | Fatigue or sedation | Dizziness or vertigo | Tremor | Somnolence/decreased concentration | Sweating | Dry mouth | Asthenia/decreased energy | Diarrhoea | Constipation | Withdrawal due to adverse effects | Psychological symptoms | Physical symptoms | Functional symptoms | Irritability | Response rates | Withdrawal for any reason | Self-rated overall premenstrual symptoms, SSRI type | Response rate",mental_health
CD001431_pub6_data,10.1002/14651858.CD001431.pub6,"diabetes, cancer, cardiovascular, renal",188,"Informed values-choice congruence - all studies | Informed values-choice congruence - without studies of high risk of bias | Informed values-choice congruence - old vs new studies | Informed values-chose congruence - using MMIC | Informed values-chose congruence - using non-MMIC measures | Knowledge - all studies | Knowledge - studies without high risk of bias | Knowledge - old vs new studies | Accurate risk perceptions - all studies | Accurate risk perceptions - studies without high risk of bias | Accurate risk perceptions - old vs new studies | Decisional conflict - uninformed - all studies | Decisional conflict - uninformed - without studies having high risk of bias | Decisional conflict - uninformed - old vs new studies | Decisional conflict - unclear values - all studies | Decisional conflict - unclear values - without studies having high risk of bias | Unclear values - old vs new studies | Participation in decision-making - all studies | Participation in decision-making - studies without high risk of bias | Participation in decision-making - clinician-controlled - old vs new studies | Participation in decision-making - patient-controlled - old vs new studies | Participation in decision-making - shared decision-making - old vs new studies | Decision regret - all studies | Decision regret - studies without high risk of bias | Decision regret - old vs new studies | Proportion undecided - all studies | Proportion undecided - studies without high risk of bias | Proportion undecided - old vs new studies | Patient-clinician communication - continuous measures (OPTION, CollaboRATE, SDM-Q-9) | Discussed topic with provider | Patient-clinician communication - continuous measures (OPTION, CollaboRATE, SDM-Q-9) - studies without high risk of bias | Discussed topic with provider - studies without high risk of bias | Satisfaction with the decision-making process - all studies | Satisfaction with the decision-making process - studies without high risk of bias | Satisfaction with the decision-making process - old vs new studies | Preparation for decision-making - all studies | Preparation for decision-making studies without high risk of bias | Preparation for decision-making - old vs new studies | Choice: surgery over conservative option (subgroup by condition) | Choice for screening | Choice: diabetes medication (uptake of new medication) | Choice: surgery over conservative option - studies without high risk of bias | Choice for screening - studies without high risk of bias | Choice: diabetes medication (uptake of new medication) - studies without high risk of bias | Confidence - all studies | Confidence - studies without high risk of bias | Confidence - old vs new studies | Consultation length - subgroup by timing of intervention (in consultation versus in preparation for consultation) | Consultation length - subgroup by timing of intervention - studies without high risk of bias | Consultation length - old vs new studies (in consultation) | Consultation length - old vs new studies (in preparation for consultation)",diabetes OR cancer OR cardiovascular OR renal
CD001533_pub7_data,10.1002/14651858.CD001533.pub7,"hypertension, infection, mental_health, gastrointestinal",49,Number with frequent relapses by 12 to 24 months | Number relapsing by 12 to 24 months | Number with frequent relapses by 12 to 24 months: stratified by risk of selection bias | Number relapsing by 12 to 24 months: stratified by risk of selection bias | Adverse events | Number with frequent relapses: stratified by risk of selection bias | Number relapsing by 6 to 12 months | Number with frequent relapses | Number with relapse | Relapse at 12 months | Number with FRNS | Time to remission [days] | Number with relapse with infection | Number of relapses/patient | Number of relapses/patient at 2 years | Number with remission | Number with relapse by 9 to 12 months | Number relapsing during therapy | Number with relapses by 9 to 12 months | Mean relapse rate/patient/year | Relapse by 6 months | Mean relapse rate | Number of days to remission | Number of days to remission according to age group | Serious adverse events | Cumulative steroid dose [mg/kg] | Number with HPA suppression | Time to remission | Number with FRNS or SDNS at 12 months | Cumulative prednisone dose to achieve remission [mg/kg] | Number of relapses in 12 months [number/year] | Number with relapse during treatment | Number with relapse by 6 months | Relapse at 6 months | Prednisone dose | Number with relapses | Relapse rate/patient/year | Number with FRNS or SDNS | Cumulative steroid dose,hypertension OR infection OR mental_health OR gastrointestinal
CD001552_pub3_data,10.1002/14651858.CD001552.pub3,"mental_health, pain",14,Clinical improvement at short-term follow-up: 3 months or less | Clinical improvement at long-term follow-up: over 3 months | Symptoms at short-term follow-up: 3 months or less | Symptoms at long-term follow-up: over 3 months | Function at short-term follow-up: 3 months or less | Function at long-term follow-up: over 3 months | Health-related quality of life at long-term follow-up: over 3 months | Adverse effects | Need for surgery or secondary surgery at short-term follow-up: 3 months or less | Need for surgery or secondary surgery at long-term follow-up: over 3 months | Pain at short-term follow-up: 3 months or less | Pain at long-term follow-up: over 3 months | Health-related quality of life at short-term follow-up: 3 months or less,mental_health OR pain
CD001703_pub4_data,10.1002/14651858.CD001703.pub4,"mental_health, pain",20,"Non-specific low back pain: pain intensity (0 to 100) at immediate-term follow-up (≤ 4 weeks) | Non-specific low back pain: pain intensity (0 to 100) at short-term follow-up (> 4 to 16 weeks) | Non-specific low back pain: pain intensity (0 to 100) at mid-term follow-up (> 16 to 52 weeks) | Non-specific low back pain: disability (RMDQ, 0 to 24) at short-term follow-up (> 4 to 16 weeks): SNRI | Non-specific low back pain: disability (ODI, 0 to 100) at short-term follow-up (> 4 to 16 weeks): SSRI | Non-specific low back pain: disability (RMDQ, 0 to 24) at short-term follow-up (> 4 to 16 weeks): TCA | Non-specific low back pain: disability (RMDQ, 0 to 24) at mid-term follow-up (> 16 to 52 weeks): TCA | Non-specific low back pain: depressive symptoms (BDI, 0 to 63) at short-term follow-up (> 4 to 16 weeks): SNRI | Non-specific low back pain: depressive symptoms (MADRS, 0 to 60) at short-term follow-up (> 4 to 16 weeks): SSRI | Non-specific low back pain: depressive symptoms (BDI, 0 to 63) at short-term follow-up (> 4 to 16 weeks): TCA | Non-specific low back pain: depressive symptoms (BDI, 0 to 63) at mid-term follow-up (> 16 to 52 weeks): TCA | Non-specific low back pain: depressive symptoms (BDI, 0 to 63) at short-term follow-up (> 4 to 16 weeks): other antidepressants | Non-specific low back pain: HRQoL (EQ-5D, 0 to 1) at short-term follow-up (> 4 to 16 weeks): SNRI | Non-specific low back pain: HRQoL (SMD) at short-term follow-up (> 4 to 16 weeks): TCA | Non-specific low back pain: HRQoL (EQ-5D, 0 to 100 VAS) at mid-term follow-up (> 16 to 52 weeks): TCA | Spine-related leg pain: pain intensity (0 to 100) at immediate-term follow-up (≤ 4 weeks) | Spine-related leg pain: pain intensity (0 to 100) at short-term follow-up (> 4 to 16 weeks) | Spine-related leg pain: pain intensity (0 to 100) at mid-term follow-up (> 16 to 52 weeks) | Spine-related leg pain: disability (SMD) at immediate-term follow-up (≤ 4 weeks) | Spine-related leg pain: disability (ODI, 0 to 100) at short-term follow-up (> 4 to 16 weeks) | Spine-related leg pain: disability (ODI, 0 to 100) at mid-term follow-up (> 16 to 52 weeks) | Spine-related leg pain: depressive symptoms (HADS-D, 0 to 21) at immediate-term follow-up (≤ 4 weeks) | Spine-related leg pain: depressive symptoms (BDI, 0 to 63) at short-term follow-up (> 4 to 16 weeks) | Spine-related leg pain: HRQoL (SF-36, 0 to 100) at short-term follow-up (> 4 to 16 weeks) | Non-specific low back pain and spine-related leg pain: total adverse events | Non-specific low back pain and spine-related leg pain: serious adverse events | Non-specific low back pain and spine-related leg pain: withdrawals due to adverse events",mental_health OR pain
CD001797_pub4_data,10.1002/14651858.CD001797.pub4,other,8,Significant improvement in disability within 6 weeks | Significant improvement in disability within 6 weeks; generic inverse variance approach | Improvement ≥ 1 point on Rankin scale | Change in mean disability score within 6 weeks | Change in mean disability score within 6 weeks; generic inverse variance approach | Change in mean disability score on Rankin scale within 6 weeks | Change in muscle strength (mean Medical Research Council sum score) within 6 weeks | Change in mean disability score at 24 weeks or later | Frequency of serious side effects | Frequency of any side effects | Improvement of ≥ 1 point on Rankin scale | Change in muscle strength (Medical Research Council sum score) within 6 weeks,other
CD001837_pub4_data,10.1002/14651858.CD001837.pub4,"cardiovascular, respiratory, neurological",72,Quit at longest follow-up (6 + months) | Behavioural support | Combined (pharmacotherapy + behavioural) support versus no support post-discharge | Quitline referral vs control | Health system telephone counselling vs quitline | Asynchronous behavioural support | Bupropion vs placebo or no bupropion | Varenicline vs placebo or no varenicline | Combined (pharmacotherapy + behavioural) support vs neither | Patients with cardiovascular disease | Patients with respiratory disease | Patients with stroke,cardiovascular OR respiratory OR neurological
CD001909_pub4_data,10.1002/14651858.CD001909.pub4,pregnancy,14,≥ 50% reduction in seizure frequency (intention-to-treat analysis) | ≥ 50% reduction in seizure frequency (worst-case analysis) | ≥ 50% reduction in seizure frequency (best-case analysis) | Treatment withdrawal | Ataxia | Dizziness | Fatigue | Nausea | Somnolence | Diplopia | Headache,pregnancy
CD001920_pub4_data,10.1002/14651858.CD001920.pub4,"cardiovascular, neurological",196,Independence in ADL scales | Motor function scales | Balance (Berg Balance Scale) | Gait velocity | Length of stay | Adverse events | Adverse eventsa | Functional task training compared to other: Independence in ADL scales | Functional task training compared to other: Motor function scales | Functional task training compared to other: Balance (Berg Balance Scale) | Functional task training compared to other: Gait velocity | Functional task training compared to other: Length of hospital stay | Functional task training compared to other approaches: Adverse events | Neurophysiological approaches compared to other: Independence in ADL scales | Neurophysiological approaches compared to other: Motor function scales | Neurophysiological approaches compared to other: Balance (Berg Balance Scale) | Neurophysiological approaches compared to other approaches: Gait velocity | Neurophysiological approach compared to other: Adverse events | Functional task training compared to other approaches: Independence in ADL scales | Functional task training compared to other approaches: Motor function scales | Functional task training compared to other approaches: Balance (Berg Balance Scale) | Functional task training compared to other approaches: Gait velocity | Neurophysiological approaches compared to other approaches: Independence in ADL scales | Neurophysiological approaches compared to other approaches: Motor function scales | Neurophysiological approaches compared to other approaches: Balance (Berg Balance Scale) | Length of time post stroke | Geographical location - continent of study conduct | Amount of treatment (less or more than 2.5 hours/week) | Duration of intervention | Focus of treatment components | Named approaches | Provider of intervention | Amount of additional treatment (less or more than 2.5 hours/week),cardiovascular OR neurological
CD002042_pub6_data,10.1002/14651858.CD002042.pub6,"cancer, cardiovascular, respiratory, infection, gastrointestinal, neurological, renal",66,"Participants exposed to blood transfusion (all trials) | Participants exposed to blood transfusion by clinical specialties | Participants exposed to blood transfusion by threshold difference | Participants exposed to blood transfusion by restrictive threshold | Units of blood transfused | 30-day mortality | 30-day mortality: subgroup by restrictive haemoglobin level | 30-day mortality: subgroup by clinical specialties (random-effects model) | 30-day mortality: subgroup by clinical specialties (fixed-effect model) | 30-day mortality: subgroup by prospective trial registration vs no prospective registration | 30-day mortality: sensitivity analysis by allocation concealment | 30-day mortality sensitivity analysis excluding trials at high risk of non-anaemic participants | In-hospital mortality (as defined by triallists) | 90-day mortality | 6-month, 12-month mortality | Neurocritically ill patients: unfavourable neurological outcome (dichotomised GOS-E or Rankin) at 6 to 12 months | Morbidity: myocardial infarction | Morbidity: congestive heart failure | Morbidity: cerebrovascular accident (CVA) – stroke | Morbidity: infection (composite) | Morbidity: pneumonia | Morbidity: sepsis/bacteraemia | Morbidity: sepsis | Morbidity: bacteraemia | Morbidity: meningitis, ventriculitis or brain abscess | Morbidity: wound infection | Morbidity: thromboembolism | Morbidity: rebleeding | Morbidity: clinically significant bleeding through thrombocytopaenia at longest follow-up | Morbidity: acute kidney injury (AKI) | Morbidity: renal failure requiring dialysis/replacement therapy | Morbidity: delirium | Adverse events (composite of all) | Adverse events (serious only) | 30-day mortality: subgroup by clinical specialties | 30-day mortality (sensitivity analysis excluding Maitland study) | 6-month mortality | Morbidity: cardiac events (aggregate) | Morbidity: pulmonary oedema | Morbidity: (N)MODS | Morbidity: cerebrovascular accident (CVA) | Morbidity: thrombosis | Morbidity: (re)bleeding | Morbidity: renal failure",cancer OR cardiovascular OR respiratory OR infection OR gastrointestinal OR neurological OR renal
CD002052_pub4_data,10.1002/14651858.CD002052.pub4,"pregnancy, mental_health, pain",6,Hypotension | Apnoea | All‐cause mortality until hospital discharge | Days on mechanical ventilation | Days of supplemental oxygen use | Intraventricular haemorrhage (any grade) | Pneumothorax | Length of NICU stay (days) | Apnea | All‐cause mortality until hospital discharge  | Number of infants requiring additional medications for sedation or analgesia or both | Seizures | Irritability | Drowsiness | Successful sedation | Sedation 30 minutes post administration | Successful completion of the procedure,pregnancy OR mental_health OR pain
CD002112_pub2_data,10.1002/14651858.CD002112.pub2,other,81,Mean number of wet nights at the end of treatment | Number of children achieving 14 consecutive dry nights by the end of treatment | Mean number of wet nights at follow-up | Number of children dry at follow-up (maintaining 14 consecutive dry nights after stopping treatment) | Number of children relapsing after cessation of treatment | Adverse events | Adverse effects,other
CD002115_pub6_data,10.1002/14651858.CD002115.pub6,"gastrointestinal, neurological",21,Self-reported improvement in faecal incontinence (continuous data) | Number of participants with self-reported improvement in constipation (dichotomous) | Number of participants with self-reported improvement in constipation (continuous) | Mean number of bowel movements per week (continuous) | Mean time spent on bowel care per week (continuous; time taken for defecation in minutes) | Mean time spent per week on bowel care (dichotmous; participants spending < 10 minutes to pass stool) | Condition-specific quality of life measures (continuous) | Number of participants with adverse events (dichotomous) | Self-reported improvement in faecal incontinence (continuous) | Neurogenic Bowel Dysfunction score (continuous; GIV) | Mean number of FI episodes (continuous) | Mean time spent per week on bowel care (continuous) | Number of participants with adverse effects (dichotomous),gastrointestinal OR neurological
CD002122_pub3_data,10.1002/14651858.CD002122.pub3,"diabetes, mental_health, pain, dermatology",32,Pain (visual analogue scale)&nbsp; | Pain (4-point verbal rating scale) | Pain (dichotomous) | Assessment of implant (continuous scale) | Assessment of implant (dichotomous) | Quality of life | Adverse effects | Pain (visual analogue scale) | Patient satisfaction | Assessment of implant (continuous) | Assessment of implant | Pain (4-point verbal scale) | Patient satisfaction (dichotomous),diabetes OR mental_health OR pain OR dermatology
