dataset_id,n_studies,n_analyses,review_doi,review_url
CD004307_pub7_data,56,6,10.1002/14651858.CD004307.pub7,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD004307.pub7/full
CD015894_pub2_data,10,9,10.1002/14651858.CD015894.pub2,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015894.pub2/full
CD013821_pub2_data,35,11,10.1002/14651858.CD013821.pub2,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013821.pub2/full
CD009730_pub3_data,28,84,10.1002/14651858.CD009730.pub3,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD009730.pub3/full
CD006027_pub3_data,29,50,10.1002/14651858.CD006027.pub3,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006027.pub3/full
CD012693_pub3_data,26,139,10.1002/14651858.CD012693.pub3,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012693.pub3/full
CD009362_pub4_data,49,34,10.1002/14651858.CD009362.pub4,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD009362.pub4/full
CD008176_pub3_data,78,125,10.1002/14651858.CD008176.pub3,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD008176.pub3/full
CD016278_data,6,18,10.1002/14651858.CD016278,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD016278/full
CD008552_pub8_data,42,20,10.1002/14651858.CD008552.pub8,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD008552.pub8/full
CD013719_pub2_data,23,36,10.1002/14651858.CD013719.pub2,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013719.pub2/full
CD002243_pub5_data,78,32,10.1002/14651858.CD002243.pub5,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD002243.pub5/full
CD013835_pub2_data,3,2,10.1002/14651858.CD013835.pub2,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013835.pub2/full
CD014736_pub2_data,6,9,10.1002/14651858.CD014736.pub2,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD014736.pub2/full
CD006712_pub3_data,13,28,10.1002/14651858.CD006712.pub3,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006712.pub3/full
CD010333_pub4_data,1,8,10.1002/14651858.CD010333.pub4,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD010333.pub4/full
CD007674_pub3_data,20,23,10.1002/14651858.CD007674.pub3,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD007674.pub3/full
CD002112_pub2_data,81,34,10.1002/14651858.CD002112.pub2,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD002112.pub2/full
CD015120_pub2_data,46,36,10.1002/14651858.CD015120.pub2,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015120.pub2/full
CD014844_pub2_data,6,12,10.1002/14651858.CD014844.pub2,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD014844.pub2/full
