Study,Study.year
Carter 1970,1970
Coope 1986,1986
EWPHBPE 1989,1989
HYVET 2008,
HYVET P 2003,1999
Kuramoto 1981,1981
MRC-O 1992,1992
MRC-TMH 1985,1985
SHEP 1991,1991
SHEP-P 1989,1986
STOP 1991,1991
Sprackling 1981,1981
Syst-Eur 1991,1993
ATTMH 1981,1981
HSCSG 1974,1974
VA-II 1970,1970
Davis 1998,1998
Annibale 1994,1994
Chan 1993,1993
Dimitriou 2000,2000
Engelke 1982,1982
Higgins 1991,1991
Peake 2005,2005
So 1995,1995
Tapia 1995,1995
Burke 1991,1991
Le Saux 2005,2005
Thalin 1985,1985
Tähtinen 2011,2011
van Buchem 1981,1981
Appelman 1991,1991
Halsted 1968,1968
Kaleida 1991,1991
Mygind 1981,1981
Damoiseaux 2000,2000
Tapiainen 2014,2014
Hoberman 2011,2011
Shahbaznejad 2021,2021
Spiro 2006,2006
Little 2001,2001
McCormick 2005,2005
Neumark 2007,2007
Hawthorne 1992,1992
Jewell 1974,1974
Sood 2000,2000
Sood 2002,2002
Löwenberg 2023,2023
Mate-Jimenez 2000,2000
Paraskeva 2000,2000
Sakuraba 2012,2012
Kiszka-Kanowitz 2022,2022
Roblin 2017,2017
Audebert 1994,1994
Balasch 1995,1995
Bustos López 1995,1995
Cagnacci 1994,1994
Fedele 1990,1990
Gerris 1996,1996
Nikolov 1999,1999
Seraccholi 2003,2003
Stovall 1994,1994
Vercellini 1998,1998
Zullo 1998,1996
D'Anna 1994,1994
Friedman 1989,1989
Golan 1993,1993
Lumsden 1994,1994
Shaw 1996,1996
Stovall 1995,1995
Donnez 2003,2003
Muneyyirci-Delale 2007,2007
Benagiano 1996,1996
Shaw 1989,1989
Hudecek 2012,2012
Campo 1999,1999
De Falco 2009,2008
Cetin 1995,1995
Favilli 2017,2017
Muzii 2010,2010
De Milliano 2020,2020
Sayyah-Melli 2007,2007
Sayyah-Melli 2009,2009
Donnez 2012b,2012
Baytur 2007,2007
Reinsch 1994,1994
Verspyck 2000,2000
Bian 2021,2021
Engman 2009,2009
Donnez 2012a,2012
Wilkens 2008,2008
Levens 2008,2008
Jones 1982,1982
Ascott Evans 2003,
FIT-CF 1998,1998
Lewiecki 2007,2007
McClung 1998,1998
Qin 2007,2007
Yan 2009,2009
Bone 2000,2000
FIT-VF 1996,1996
Pols 1999,1999
Michalska 2006,2006
Greenspan 1998,1998
EUCTR2008-001865-28-GB,2018
Greenspan 2002,2002
Murphy 2001,2001
Chesnut 1995,1995
Durson 2001,
Liberman 1995,
Adami 1995,1995
Greenspan 2003,2003
Johnell 2002,2002
McClung 2014,2014
Seeman 2010,2010
Shilbayeh 2004,2004
Yen 2000,2000
Bell 2002,2002
Bonnick 2007,2007
Chailurkit 2003,2003
Cosman 2016,2016
Dobnig 2006,2006
Downs 2000,2000
Eastell 2011,2011
Frediani 1998,1998
Gonnelli 1999,1999
Ho 2005,2005
Hosking 2003,2003
Lau 2000,2000
Shi 2017,2017
Bone 1997,1997
Cosman 2005,2005
Hosking 1998,1998
Nakamura 2014,2014
Uusi-Rasi 2003,2003
Li 2013,2013
Chavez-Valencia 2014,2014
Tseng 2006,2006
Freemantle 2012,2012
Cosman 2009,2009
Saag 2017,2017
Tan 2016,2016
Luckey 2004,2004
Recker 2007,2007
Sambrook 2004,2004
Eviö 2004,2004
Zhang 2015,2015
Lindsay 1999,1999
Palomba 2002,2002
Brown 2009,2009
Galesanu 2015,2015
Kendler 2010,2010
Akyol 2006,2006
Galesanu 2011,
Paggiosi 2014,2014
Nabhan 2008,2008
Miller 2008,2008
Panico 2011,2011
Jokar 2016,2016
Russo 1996,1996
ISRCTN82719233,2010
Kaya 2009,2009
Li 2010,2010
Palomba 2005,2005
Iwamoto 2005,2005
Sarioglu 2006,2006
Orimo 2011,2011
Body 2002,2002
Robles-Carranza 2013,2013
Hagino 2009,2009
Hadji 2012,2012
EUCTR2006-005581-39-BE,2012
Sawada 2009,2009
Iwamoto 2008,2008
Kushida 2002,2002
Shiraki 1999,1999
Langenegger 2011,2011
You 2011,2011
Rosen 2005,2005
McClung 2007,2007
Tiraş 2000,2000
Igase 2014,2014
Burghardt 2010,2010
Atmaca 2006,2006
Reid 2008,2006
Köşüş 2005,2005
Sahota 2000,2000
Sanad 2011,2011
Yoon 2017,2017
Miller 2011,2011
El-Hamamsy 2016,2016
Su 2016,2016
Yanik 2008,2008
Min 2013,2013
Um 2017,2017
Luckey 2003,2003
Schnitzer 2000,2000
Barbosa-Cesnik 2011,2011
Kontiokari 2001,2001
Maki 2016,2016
Sengupta 2011,2011
Stapleton 2012,2012
Stothers 2002,2002
Takahashi 2013,2013
Vostalova 2015,2015
Caljouw 2014,2014
Juthani-Mehta 2016,2016
McMurdo 2005,2005
Essadi 2010,2010
Wing 2008,2008
Wing 2015,2015
Afshar 2012,2012
Dotis 2014,2014
Ferrara 2009,2009
Salo 2010,2010
Wan 2016,2016
Bonetta 2017,2017
Fernandes 2016,2016
Foxman 2015,2015
Mohammed 2016,2016
Mooren 2020,2020
Temiz 2018,2018
Gallien 2014,2014
SINBA 2007,2007
Waites 2004,2004
Avorn 1994,1994
Juthani-Mehta 2010,2010
McGuiness 2002,2002
Bruyere 2019,2019
Babar 2021,2021
Koradia 2019,2019
Singh 2016,2016
NAPRUTI 2011,2011
Uberos 2012,2012
McMurdo 2009,2009
Cohen 2004,2004
Freeman 1999a,1999
Freeman 2004,2004
Ozeren 1997,1997
Steiner 1995,1995
Yonkers 1997,1997
Yonkers 2013,2013
Eriksson 2008,2008
Halbreich 2002,2002
Jermain 1999,1999
Rajabi 2020,2020
Yonkers 2015,2015
Cohen 2002,2002
Kornstein 2006,2006
Landen 2007,2007
Miner 2002,2002
Steiner 2005,2005
Steiner 2008,2008
Eriksson 1995,1995
GlaxoSmithKline 1996a,1996
GlaxoSmithKline 2001,2001
Pearlstein 2005,2005
Stone 1991,1991
Pearlstein 1997,1997
GlaxoSmithKline 1996b,1996
Wikander 1998,1998
Arrendondo-Soberon 1997,1997
Crnobaric 1998,1998
Berger-Hoger 2019,2019
Beulen 2016,2016
Bjorklund 2012,2012
Crew 2022,2022
Fagerlin 2011,2011
Fisher 2020,2020
Ickenroth 2016,2016
Mathieu 2007,2007
Mathieu 2010,2010
Nagle 2008,2008
Perez-Lacasta 2019,2019
Roberto 2020,2020
Schwalm 2012,2012
Singh 2019,2019
Smith 2010,2010
Stacey 2014a,2014
Stacey 2016,2016
Steckelberg 2011,2011
Trevena 2008,2008
Ye 2021,2021
Zadro 2022,2022
Allen 2010,2010
Allen 2018,2018
Arterburn 2011,2011
Barry 1997,1997
Bekker 2004,2004
Bernstein 1998,1998
Brown 2019,2019
Carlson 2019,2019
Carroll 2017,2017
Case 2019,2019
Chabrera 2015,2015
Cox 2019,2019
Coylewright 2016,2016
Cuypers 2018,2018
Durand 2021,2021
Frosch 2008a,2008
Gabel 2020a,2020
Gattellari 2003,2003
Gattellari 2005,2005
Gordon 2017,2017
Green 2001,2001
Hanson 2011,2011
Hess 2012,2012
Hess 2016,2016
Hess 2018,2018
Hoffman 2017,2017
Jalil 2022,2022
Jibaja-Weiss 2011,2011
Johnson 2006,2006
Karagiannis 2016,2016
Khalifeh 2019,2019
Knops 2014,2014
Kostick 2018,2018
Krist 2007,2007
Kupke 2013,2013
Kuppermann 2014,2014
Kuppermann 2020,2020
Lam 2013,2013
Laupacis 2006,2006
LeBlanc 2015b,2015
Leighl 2011,2011
Lepore 2012,2012
Lerman 1997,1997
Lewis 2010,2010
Lewis 2018,2018
Lewis 2021,2021
Love 2016,2016
Man-Son-Hing 1999,1999
Mann E 2010,2010
Manne 2020,2020
McCaffery 2010,2010
McGrath 2017,2017
McIlvennan 2018,2018
McLean 2020,2020
Meade 2015,2015
Metcalfe 2017,2017
Montgomery 2003,2003
Montgomery 2007,2007
Montori 2011,2011
Montoya 2019,2019
Morgan 2000,2000
Mullan 2009,2009
Nassar 2007,2007
Omaki 2021,2021
Oostendorp 2017,2017
Patzer 2018,2018
Perestelo-Perez 2016,2016
Perestelo-Perez 2017,2017
Perestelo-Perez 2019,2019
Politi 2020a,2020
Protheroe 2007,2007
Rivero-Santana 2021,2021
Sawka 2012,2012
Schapira 2019,2019
Schonberg 2020,2020
Schroy 2011,2011
Schwartz 2001,2001
Shorten 2005,2005
Stamm 2017,2017
Subramanian 2019,2019
Taylor 2006,2006
Thomson 2007,2007
Tilburt 2022,2022
Van Peperstraten 2010,2010
Vandemheen 2009,2009
Varelas 2020,2020
Vigod 2019,2019
Volk 1999,1999
Volk 2020,2020
Wallace 2021,2021
Watts 2015,2015
Whelan 2003,2003
Williams 2013,2013
Wong 2006,2006
van Dijk 2021,2021
Kunneman 2020,2020
LeBlanc 2015,2015
Mann D 2010,2010
Mathers 2012,2012
McAlister 2005,2005
McBride 2002,2002
Whelan 2004,2004
Wolf 2000,2000
Bergeron 2018,2018
Brazell 2014,2014
De Achaval 2012,2012
Dolan 2002,2002
Ehrbar 2019,2019
Legare 2008a,2008
Murphy 2020,2020
Murray 2001a,2001
Murray 2001b,2001
Osaka 2017,2017
Schott 2021,2021
Shourie 2013,2013
Vodermaier 2009,2009
Auvinen 2004,2004
Chen C 2021,2021
Davison 1997,1997
Kasper 2008,2008
Legare 2011,2010
Legare 2012,2012
Stubenrouch 2022,2022
van Tol-Geerdink 2013,2013
Berry 2018,2018
Kleiss 2021,2021
Lin 2022,2022
Luan 2016,2016
Wang 2021,2021
Wilkens 2019,2019
Wyld 2021,2021
Berry 2013,2013
Bozic 2013,2013
Chambers 2012,2012
Chen S 2021,2021
Madden 2020,2020
Schwartz 2009a,2009
Smallwood 2017,2017
Vuorma 2003,2003
Meier 2019,2019
Fraenkel 2012,2012
Ibrahim 2013,2013
Miller 2018,2018
Sheridan 2006,2006
Sheridan 2011,2011
Tebb 2021,2021
Gokce 2019,2019
Ibrahim 2017,2017
Vina 2016,2016
Kennedy 2002,2002
Evans 2010,2010
Partin 2004,2004
Watson 2006,2006
Wolf 1996,1996
Elliott 2022,2022
Gabel 2020b,2020
Pignone 2000,2000
Reuland 2017,2017
Ruffin 2007,2007
Kukafka 2022,2022
Bourmaud 2016,2016
Moin 2019,2019
Weymiller 2007,2007
Lin 2020,2020
Loh 2007,2007
Ozanne 2007,2007
APN 1993,1993
Bagga 1999,1999
Jayantha 2000,2000
Norero 1996,1996
PREDNOS 2019,2019
Ueda 1988,1988
Yoshikawa 1998,1998
Yoshikawa 2015,2015
Ksiazek 1995,1995
Moundekhel 2012,2012
PREDNOS PILOT 2019,2019
Satomura 2001,2001
Al Talhi 2018,2018
Hiraoka 2003,2003
Mishra 2012,2012
Sharma 2002,2002
Sinha 2015,2015
Teeninga 2013,2013
Jamshaid 2022,2022
Pecoraro 2003,2003
APN 1988,1988
Kleinknecht 1982,1982
Hiraoka 2000,2000
Mocan 1999,1999
Zhang 2007d,2007
Imbasciati 1985,1985
Abeyagunawardena 2008,2008
PREDNOS 2 2022,2014
Gulati 2011,2011
Mattoo 2000,2000
Agarwal 2010,2010
Singhal 2015,2015
Broyer 1997,1997
ISKDC 1979,1979
APN 1981,1981
Ekka 1997,1997
Khan 2023,2023
Li 1994,1994
Weerasooriya 2023,2023
Borovitz 2020,2020
Sheikh 2019,2019
Kansal 2019,2019
Tu 2022,2022
Kainth 2021,2021
Yadav 2019,2019
PROPINE 2020,2018
Basu 2020,2020
Raman 2016,2016
Jayantha 2002b,2002
Gerritsen 2002,2002
Ucan 2006,2006
Garland 1964,1964
Awan 2015,2015
Ly Pen 2005,2005
